F1,F2,D,dropout,learning_rate,batch_size,weight_decay,f1_score,precision,recall,val_loss
8,8,2,0.31078454511877707,2.7299492937477672e-05,128,0.0004007455862827244,0.9643817495894896,0.9545014431417855,0.9752903508769778,0.07183388077343504
8,16,2,0.38138952677957777,6.167174911086604e-05,64,1.1120263385800963e-05,0.9623227882857628,0.9548724602963358,0.9705311835786649,0.07568346846686758
16,8,4,0.2566947249800793,1.8529155560335235e-05,64,2.0035096115672113e-05,0.9653774266717964,0.9551863696356131,0.9765542158101405,0.07219762593993674
16,8,4,0.21068276085531562,3.209968774533337e-05,64,1.7917863146446622e-05,0.9647452184933031,0.9508891749207865,0.9804719938829377,0.06684009674126687
16,8,4,0.2725140095810382,2.4196185570449757e-05,64,2.939724454441985e-05,0.9658658936471493,0.9559102742649151,0.9768370536784975,0.06862621025546738
16,8,4,0.3284251592850694,1.4511081462236066e-05,64,4.849964797817115e-05,0.9688622499147151,0.9568508720352348,0.9823015345528145,0.06843821036264948
8,8,4,0.35019853399787093,1.577994558504693e-05,64,5.838562427500637e-05,0.9670490334339995,0.959256119963924,0.975573188745335,0.07047724723815918
16,8,8,0.3219919160653276,7.917707186775857e-05,256,4.5249298925721016e-05,0.96754539176412,0.9596703911347682,0.9761353022922714,0.06391533153752486
8,16,4,0.15773428581167293,1.3068005412856696e-05,64,9.586196343161078e-05,0.9683620485637677,0.9565938717433453,0.9815997831665882,0.07232211416830188
8,8,4,0.14762836162008836,1.2521608563647914e-05,64,9.524880237840324e-05,0.9628287739680982,0.9547989351268039,0.9715122106434704,0.07309053680333107
8,16,4,0.15193653725695327,1.0188791065699855e-05,64,0.00020705117260985486,0.964373243367746,0.9548302728380768,0.9750110751983985,0.07563062797745933
8,8,4,0.21433898679903307,1.5362229115469584e-05,64,8.91694294899232e-05,0.9628255342541056,0.9549544794827813,0.9713725728041807,0.07050732361233752
4,16,4,0.17537090434184385,1.4661711544491558e-05,256,3.2325332407111046e-05,0.9582115130374408,0.9487809254648633,0.9687016429087879,0.07494372129440308
8,16,8,0.40995592560734545,4.965277694591995e-05,64,1.4662814702577793e-05,0.9681980638526193,0.9645750692541109,0.9720778863801846,0.06743507755353399
8,16,8,0.40897987153051607,2.4306564976986812e-05,64,0.0035241282826506287,0.9644985011430262,0.9589471790443294,0.9705311835786649,0.07313068024814129
8,16,8,0.4669409062367185,4.884182876863905e-05,64,1.000429687236434e-05,0.9648698447136711,0.9552425576423396,0.975573188745335,0.07032767213557077
8,16,8,0.1161254071231082,1.8884040394201456e-05,64,1.4693356953562716e-05,0.9596511768631912,0.9459865759567919,0.9751471508479104,0.06576655266563529
8,16,8,0.36522739093980694,1.1853905218092865e-05,64,2.5841331391839062e-05,0.9582075114212892,0.9489518232585823,0.9685620050694982,0.0750419125770745
8,32,8,0.5327538193366854,7.545287053034844e-05,64,3.760613019604944e-05,0.9720323096544233,0.9617989522267537,0.9832861238073978,0.06703217773009902
4,32,4,0.6668827240806698,0.0001211958140115106,256,3.7628062797290926e-05,0.940727557843358,0.9180037891940956,0.9698052910571248,0.08798114582896233
8,32,4,0.2266356571533995,0.0004479669414237251,64,4.838459174809915e-05,0.9688584453277809,0.9570092145277144,0.9821618967135248,0.06970848669500454
32,32,8,0.549505767618878,0.0007587412002943905,64,0.00013879772724210708,0.9673263030138441,0.9709260174658098,0.963942475610475,0.0657515256949093
8,32,4,0.19572480155952365,0.0006320773632376858,64,5.456249718579339e-05,0.9664846378167006,0.9604433984944061,0.9729192756057005,0.07080580937959578
8,32,4,0.29163263059178224,0.0004622251466348368,64,4.3440811998475875e-05,0.9667905741191412,0.963166969485108,0.9706708214179544,0.07228897406679133
8,32,4,0.23637048948898945,3.403427234183219e-05,64,7.923261013943603e-05,0.9576000278193634,0.9462203913480153,0.9703879835495973,0.07559780744106873
8,32,4,0.5862520438091159,0.00019639761099335694,64,0.00010596274966975348,0.961834041790475,0.9541239509584659,0.9702483457103077,0.07544139553995236
8,32,4,0.14093004091516453,7.95674104844265e-05,128,5.025845058108413e-05,0.9580711066205946,0.943255110151445,0.9752903508769778,0.07439144048839808
8,32,4,0.22876420359671873,0.0009856478063345788,32,0.00037446548671103295,0.9713367327133439,0.9724258310994388,0.9703915457393751,0.06532047148230839
16,32,2,0.23746789966003345,0.0005077051612577749,32,0.0007310831458959879,0.961395359647601,0.9624876845938738,0.9604471732453246,0.06601940459412341
32,32,4,0.2702398463210339,0.00030356831860029485,32,0.0003697651399837232,0.9668016368766814,0.9626969299379722,0.9710897349358235,0.06476982435529151
4,32,2,0.30381736838262646,0.0009627952113430888,32,0.0019706360508353962,0.9630441005293283,0.9621078125811646,0.9642253134788321,0.07402282462989325
8,32,4,0.3296282788664616,0.0004244449249013814,32,0.00018135199384738122,0.9687766538774562,0.9628391737127057,0.9751507130376882,0.06882555150245341
8,32,4,0.32231920449550605,0.0007018391052797357,32,0.0002961863431059396,0.9599164850263483,0.9609167678128966,0.9590401082830945,0.07070780881432533
8,32,4,0.3392163528786703,0.00042719480772711446,32,0.00019330535697594084,0.9742503388691485,0.9775456795843684,0.9710932971256012,0.06777005043904469
8,32,4,0.3728459719783078,0.00022167472468430195,32,0.000766668270876542,0.9672103894004174,0.9635841576369645,0.9710932971256012,0.06680888409091099
8,32,4,0.39826079325054314,0.0005515015054684768,32,2.414036627706466e-05,0.9630917426017064,0.9511535109738781,0.9764145779708508,0.07110082536129757
16,32,4,0.34606855582323914,0.00026408270042327207,32,0.0005870483344433863,0.9677748949762393,0.9643272211241006,0.9715157728332481,0.06563193031362734
8,32,2,0.4549273688418617,0.0003724934488524772,32,1.2752091566766674e-05,0.9683579520373602,0.9567606504425777,0.9814601453272987,0.0687297811078758
16,32,8,0.2697678394026331,0.00015820844483443457,32,0.0004175829012620158,0.9689334708762875,0.9570057646708076,0.9823015345528145,0.06588328032249473
16,8,8,0.49194439132324136,0.00011416255368507473,32,0.0005143140974065124,0.9644985011430262,0.9589471790443294,0.9705311835786649,0.06440459643003439
